   4.500000000E-01   1.042899197E-02
   4.399878739E-01   1.038219271E-02
   4.199635287E-01   1.032226766E-02
   3.899334000E-01   9.552737626E-03
   3.599148174E-01   8.273211843E-03
   3.299109851E-01   6.622913901E-03
   2.999225372E-01   4.696678713E-03
   2.699474505E-01   2.649252137E-03
   2.399814209E-01   5.359547856E-04
   2.100185806E-01  -1.511342057E-03
   1.800525483E-01  -3.466091435E-03
   1.500774518E-01  -5.232234472E-03
   1.200890177E-01  -6.734812843E-03
   9.008517659E-02  -7.970464700E-03
   6.006659248E-02  -8.817412859E-03
   3.003646880E-02  -9.369840499E-03
  -3.024182012E-09  -9.545758513E-03
  -3.003645670E-02  -9.369840738E-03
  -6.006660261E-02  -8.817412636E-03
  -9.008518065E-02  -7.970464459E-03
  -1.200890141E-01  -6.734813077E-03
  -1.500774617E-01  -5.232233842E-03
  -1.800525485E-01  -3.466091438E-03
  -2.100185781E-01  -1.511342076E-03
  -2.399814183E-01   5.359546078E-04
  -2.699474507E-01   2.649252334E-03
  -2.999225471E-01   4.696679446E-03
  -3.299109815E-01   6.622914025E-03
  -3.599148216E-01   8.273211945E-03
  -3.899334096E-01   9.552738445E-03
  -4.199635186E-01   1.032226676E-02
  -4.399878696E-01   1.038219321E-02
  -4.500000000E-01   1.042899285E-02
